Aalim Muhammed Salegh College of Engineering, Chennai,
Aarupadai Veedu Institute of Technology, Kanchipuram,
Agni College of Technology, Chennai,
Aksheyaa College of Engineering, Maduranthagam,
Asan Memorial College of Engineering and Technology, Chengalpattu,
A.C. College of Engineering and Technology, Karaikudi,
Agricultural Engineering College and Research Institute, Coimbatore,
Anna University Tiruchirappali, Ariyalur Campus,
Anna University Tiruchirappali, Panruti Campus,
Anna University Tiruchirappali, Ramanathapuram Campus,
Anna University Tiruchirappali, Thirukkuvalai Campus,
Anna University Tiruchirappalli, Dindigul Campus,
Anna University Tiruchirappalli, Pattukkottai Campus,
Annamalai University, Chidambaram,
A.C.T. College of Engineering and Technology, Maduranthagam,
A.K.T. Memorial College of Engineering and Technology, Kallakurichi
A.R. College of Engineering and Technology, Ambasamudram
A.R. Engineering College, Villupuram
A.R.J. College of Engineering and Technology, Mannargudi
A.R.M. College of Engineering and Technology, Chengalpet
A.S.L. Pauls College of Engineering and Technology, Pollachi Taluk
A.V.C. College of Engineering, Mayiladutarai
A.V.S. Engineering College, Salem
AAA College of Engineering and Technology, Sivakasi
Adhi College of Engineering and Technology, Kancheepuram
Adhiparasakthi College of Engineering, Vellore
Adhiparasakthi Engineering College, Cheyyar
Adhiyamaan College of Engineering, Hosur
Adithya Institute of Technology, Coimbatore
Aishwarya College of Engineering and Technology, Erode
Akshaya College of Engineering & Technology, Coimbatore
Al-Ameen Engineering College, Erode
Alpha College of Engineering, Chennai
Amrita Vishwa Vidyapeetham University (Amrita School of Engineering), Coimbatore
Anand Institute of Higher Technology, Chengalpattu Taluk
Anand School of Architecture, Chengalpattu
Angel College of Engineering and Technology, Tiruppur
Anjalai Ammal Mahalingam Engineering College, Thiruvarur
Annai College of Engineering and Technology, Thanjavur
Annai Mathammal Sheela Engineering College, Namakkal
Annai Mira College of Engineering and Technology, Vellore
Annai Teresa College of Engineering, Ulundurpet
Annai Vailankanni College of Engineering, Azhagapapuram
Annai Veilankanni's College of Engineering, Chennai
Annamalaiar College of Engineering, Polur
Annaporna Engineering College, Salem
Apollo Engineering College, Sriperumbudur
Apollo Priyadarshanam Institute of Technology, Sriperumbudur
Arasu Engineering College, Kumbakonam
Archana Institute of Technology, Krishanagiri
Arignar Anna Institute of Science and Technology, Sriperumpudur
Ariyalur Engineering College, Ariyalur
Arjun College of Technology, Coimbatore
Arul College of Technology, Radhapuram
Arulmigu Meenakshi Amman College of Engineering, Cheyyar
Arulmuruga Technical Campus, Karur
Arunachala College of Engineering for Women, Nagercoil
Arunai Engineering College, Tiruvannamalai
Asian College of Engineering and Technology, Coimbatore
As-Salam College of Engineering and Technology, Thanjavur
Avinashilingam University for Women (Avinashilingam Institute for Home Science and Higher Education for Women), Coimbatore
AVS Technical Campus, Salem
B.S. Abdur Rahman University (B.S. Abdur Rahman Crescent Engineering College), Chennai
Bharath University (Bharath Institute of Higher Education and Research), Chennai
B.K.R. College of Engineering and Technology, Arakkonam
Balaji Institute of Engineering and Technology, Thiruporur
Balamani Arunachalam Educational & Charitable Trust's Group of Institution, Chengalpet
Bannari Amman Institute of Technology, Erode
Bethlahem Institute of Engineering, Karungal
Bhajarang Engineering College, Tiruvallur
Bharath Niketan Engineering College, Theni
Bharathidasan Engineering College, Tirupattur
Bharathiyar Institute of Engineering for Women, Attur
Chennai Institute of Technology, Chennai
Christian College of Engineering and Technology, Oddanchatram
Central Electro Chemical Research Institute, Karaikudi
Central Institute of Plastic Engineering and Technology (CIPET), Chennai
Coimbatore Institute of Technology, Coimbatore
C. Abdul Hakeem College of Engineering and Technology, Vellore
C.A.R.E. School of Engineering, Srirangam
C.M.S. College of Engineering, Ernapuram
C.M.S. College of Engineering and Technology, Coimbatore
C.R. Engineering College , Madurai
C.S.I. Engineering College, Coonoor
C.S.I. Institute of Technology, Kanyakumari
Cape Institute of Technology, Radhapuram
Cauvery College of Engineering and Technology, Perur
Chandy College of Engineering, Thoothukudi
Chendhuran College of Engineering and Technology, Thiurmayam
Chendu College of Engineering and Technology, Madurantakam
Cheran College of Engineering, Karur
Cheran School of Architecture, Karur
Chettinad College of Engineering and Technology, Karur
Christ The King Engineering College, Coimbatore
Coimbatore Institute of Engineering and Information Technology, Coimbatore
Dhanalakshmi College of Engineering, Chennai
Dr. MGR University (Dr. M.G.R. Educational and Research Insitute), Chennai
D.M.I. College of Engineering, Kancheepuram
D.M.I. Engineering College, Kanyakumari
Davinci School of Design and Architecture, Chennai
Dhaanish Ahmed College of Engineering, Chennai
Dhaanish Ahmed Institute of Technology, Coimbatore
Dhanalakshmi Srinivasan College of Engineering, Perambalur
Dhanalakshmi Srinivasan College of Engineering and Technology, Mamallapuram
Dhanalakshmi Srinivasan Engineering College, Perambalur
Dhanalakshmi Srinivasan Institute of Research and Technology, Perambalur
Dhanalakshmi Srinivasan Institute of Technology, Trichirappalli
Dhirajlal Gandhi College of Technology, Salem
Dr. G.U. Pope College of Engineering, Thoothukudi
Dr. Mahalingam College of Engineering and Technology, Pollachi
Dr. N.G.P. Institute of Technology, Coimbatore
Dr. Nagarathinam's College of Engineering, Namakkal
Dr. Nalini Institute of Engineering and Technology, Dharapuram
Dr. Navalar Nedunchezhiyan College of Engineering, Cuddalore
Dr. Paul's Engineering College, Vanur
Dr. Sivanthi Aditanar College of Engineering, Tuticorin
Easwari Engineering College, Chennai
E.S. College of Engineering and Technology, Villupuram
EASA College of Engineering and Technology, Coimbatore
Edayathangudi G.S. Pillay Engineering College, Nagapattinam
Einstein College of Engineering, Tirunelveli
Elizabeth College of Engineering and Technology, Perambalur
Er. Perumal Manimekalai College of Engineering, Hosur
Erode Builder Educational Trust,s Group of Institutions, Kangeayam
Erode Sengunthar Engineering College, Perundurai
Excel College of Engineering and Technology, Namakkal
Excel College of Engineering for Women, Komarapalayam
Excel Engineering College, Komarapalayam
Fatima Michael College of Engineering & Technology, Madurai
Francis Xavier Engineering College, Palayamkottai
G.K.M. College of Engineering and Technology, Chennai
